EmprestimoID,UsuarioID,LivroID,Data_Emprestimo,Data_Devolucao
51,42,78,2023-09-19 18:50:07.012748,2022-11-25 18:50:07.031084
52,38,32,2023-08-26 18:50:07.012752,2023-07-10 18:50:07.031087
53,89,71,2023-03-15 18:50:07.012755,2023-08-06 18:50:07.031091
54,66,91,2022-11-20 18:50:07.012759,2023-08-04 18:50:07.031095
55,98,95,2023-08-02 18:50:07.012762,2023-08-01 18:50:07.031098
56,38,8,2022-10-02 18:50:07.012766,2023-01-22 18:50:07.031102
57,43,17,2023-02-16 18:50:07.012769,2022-12-16 18:50:07.031106
58,23,72,2023-06-04 18:50:07.012772,2023-07-01 18:50:07.031109
59,39,26,2023-05-11 18:50:07.012776,2023-02-04 18:50:07.031112
60,4,76,2022-11-27 18:50:07.012779,2022-10-17 18:50:07.031116
61,45,18,2023-06-14 18:50:07.012782,2022-10-24 18:50:07.031120
62,35,60,2023-05-05 18:50:07.012786,2023-05-21 18:50:07.031123
63,15,70,2023-09-18 18:50:07.012789,2023-06-15 18:50:07.031126
64,53,14,2023-05-27 18:50:07.012793,2022-12-06 18:50:07.031130
65,69,92,2023-01-20 18:50:07.012796,2023-04-26 18:50:07.031133
66,26,61,2022-09-28 18:50:07.012800,2023-09-01 18:50:07.031137
67,99,68,2023-06-20 18:50:07.012803,2023-08-18 18:50:07.031141
68,26,75,2023-03-28 18:50:07.012813,2023-08-02 18:50:07.031144
69,16,46,2023-08-13 18:50:07.012817,2023-01-10 18:50:07.031148
70,34,87,2023-04-11 18:50:07.012820,2022-11-03 18:50:07.031151
71,23,23,2022-12-24 18:50:07.012824,2023-09-08 18:50:07.031155
72,15,61,2023-04-07 18:50:07.012827,2023-01-14 18:50:07.031158
73,86,97,2022-12-26 18:50:07.012830,2022-12-22 18:50:07.031162
74,92,66,2023-01-19 18:50:07.012834,2023-02-05 18:50:07.031165
75,99,56,2023-08-07 18:50:07.012837,2022-11-18 18:50:07.031169
76,40,74,2023-08-19 18:50:07.012841,2023-07-24 18:50:07.031172
77,60,1,2022-12-27 18:50:07.012844,2022-11-14 18:50:07.031176
78,23,82,2023-02-09 18:50:07.012848,2022-10-26 18:50:07.031180
79,84,26,2022-11-09 18:50:07.012851,2023-08-18 18:50:07.031183
80,31,4,2023-03-27 18:50:07.012855,2022-10-22 18:50:07.031187
81,67,82,2022-11-10 18:50:07.012858,2023-09-09 18:50:07.031190
82,5,4,2023-01-27 18:50:07.012861,2022-12-25 18:50:07.031194
83,25,40,2023-02-18 18:50:07.012865,2022-11-30 18:50:07.031197
84,21,45,2023-09-04 18:50:07.012868,2023-03-21 18:50:07.031200
85,58,13,2022-10-17 18:50:07.012872,2023-07-23 18:50:07.031204
86,7,22,2022-11-07 18:50:07.012875,2023-09-15 18:50:07.031207
87,42,76,2023-05-20 18:50:07.012879,2022-11-14 18:50:07.031211
88,43,57,2023-02-13 18:50:07.012882,2023-04-27 18:50:07.031214
89,39,79,2023-08-02 18:50:07.012886,2023-01-18 18:50:07.031218
90,36,87,2023-09-02 18:50:07.012889,2023-01-12 18:50:07.031221
91,2,77,2023-09-06 18:50:07.012893,2023-09-19 18:50:07.031224
92,22,14,2023-05-20 18:50:07.012897,2023-02-06 18:50:07.031228
93,63,95,2022-11-17 18:50:07.012900,2023-03-17 18:50:07.031232
94,38,54,2023-01-08 18:50:07.012904,2023-01-12 18:50:07.031236
95,12,95,2023-08-18 18:50:07.012908,2023-02-25 18:50:07.031239
96,98,59,2023-09-19 18:50:07.012911,2022-12-28 18:50:07.031243
97,23,12,2023-05-05 18:50:07.012914,2023-08-19 18:50:07.031246
98,33,50,2023-02-05 18:50:07.012918,2022-11-21 18:50:07.031250
99,29,10,2022-11-04 18:50:07.012921,2022-10-05 18:50:07.031253
100,20,32,2022-11-30 18:50:07.012925,2023-04-05 18:50:07.031256
101,1,62,2023-03-09 18:50:07.012928,2023-04-03 18:50:07.031259
102,95,5,2023-02-10 18:50:07.012932,2023-06-30 18:50:07.031263
103,43,14,2022-11-25 18:50:07.012940,2023-09-17 18:50:07.031266
104,68,65,2023-06-19 18:50:07.012944,2023-07-30 18:50:07.031270
105,76,87,2023-07-24 18:50:07.012947,2022-11-20 18:50:07.031273
106,81,16,2023-03-19 18:50:07.012951,2022-11-01 18:50:07.031277
107,21,13,2022-10-05 18:50:07.012954,2023-08-04 18:50:07.031280
108,4,3,2023-06-20 18:50:07.012958,2023-06-25 18:50:07.031283
109,93,91,2022-11-22 18:50:07.012961,2023-01-23 18:50:07.031287
110,96,57,2023-09-08 18:50:07.012965,2022-11-27 18:50:07.031291
111,61,26,2023-09-26 18:50:07.012969,2022-10-18 18:50:07.031294
112,79,45,2023-04-18 18:50:07.012972,2023-01-20 18:50:07.031297
113,2,45,2023-02-11 18:50:07.012975,2022-10-23 18:50:07.031301
114,83,22,2023-07-05 18:50:07.012979,2023-09-11 18:50:07.031304
115,34,64,2023-05-29 18:50:07.012982,2023-03-27 18:50:07.031308
116,84,66,2023-09-15 18:50:07.012986,2022-12-11 18:50:07.031311
117,20,33,2023-05-26 18:50:07.012989,2023-05-15 18:50:07.031315
118,50,48,2023-01-07 18:50:07.012993,2022-10-06 18:50:07.031318
119,87,91,2023-07-28 18:50:07.012996,2023-01-07 18:50:07.031321
120,56,16,2023-05-27 18:50:07.013000,2023-02-02 18:50:07.031325
121,13,19,2023-08-18 18:50:07.013003,2023-02-03 18:50:07.031328
122,87,57,2023-07-10 18:50:07.013007,2022-10-31 18:50:07.031332
123,95,94,2023-04-08 18:50:07.013010,2023-06-26 18:50:07.031335
124,32,91,2023-03-05 18:50:07.013014,2023-08-18 18:50:07.031338
125,49,9,2022-11-17 18:50:07.013017,2023-02-13 18:50:07.031342
126,84,1,2023-05-14 18:50:07.013020,2023-03-01 18:50:07.031345
127,60,48,2023-07-17 18:50:07.013024,2022-10-25 18:50:07.031349
128,54,85,2023-01-10 18:50:07.013027,2023-09-23 18:50:07.031352
129,25,90,2023-07-09 18:50:07.013031,2023-02-26 18:50:07.031356
130,40,28,2023-08-22 18:50:07.013035,2023-01-11 18:50:07.031359
131,81,86,2023-03-26 18:50:07.013038,2023-06-14 18:50:07.031363
132,67,65,2023-09-17 18:50:07.013041,2023-09-21 18:50:07.031366
133,47,90,2022-12-06 18:50:07.013045,2022-09-29 18:50:07.031369
134,17,69,2023-03-30 18:50:07.013049,2023-06-07 18:50:07.031373
135,69,27,2022-12-08 18:50:07.013052,2023-03-26 18:50:07.031376
136,42,40,2023-09-09 18:50:07.013056,2023-03-28 18:50:07.031380
137,88,98,2023-05-19 18:50:07.013059,2023-02-12 18:50:07.031383
138,19,79,2023-02-23 18:50:07.013062,2022-10-14 18:50:07.031387
139,78,87,2023-09-12 18:50:07.013066,2023-03-15 18:50:07.031390
140,41,70,2023-05-15 18:50:07.013070,2023-08-14 18:50:07.031394
141,66,58,2022-10-01 18:50:07.013073,2023-08-19 18:50:07.031397
142,1,87,2023-02-16 18:50:07.013077,2023-03-30 18:50:07.031401
143,27,60,2023-04-08 18:50:07.013080,2023-09-03 18:50:07.031404
144,90,70,2023-03-13 18:50:07.013083,2023-08-13 18:50:07.031408
145,88,84,2023-05-15 18:50:07.013087,2023-03-07 18:50:07.031411
146,13,78,2022-11-11 18:50:07.013090,2023-07-08 18:50:07.031415
147,20,95,2023-08-17 18:50:07.013094,2023-04-06 18:50:07.031418
148,4,35,2023-05-18 18:50:07.013097,2023-02-28 18:50:07.031421
149,15,14,2023-01-19 18:50:07.013101,2023-02-08 18:50:07.031425
150,30,45,2023-08-18 18:50:07.013104,2023-03-06 18:50:07.031429
151,95,97,2023-05-09 18:50:07.013108,2022-12-08 18:50:07.031432
152,22,50,2023-05-18 18:50:07.013111,2023-04-19 18:50:07.031435
153,96,61,2023-08-16 18:50:07.013115,2023-02-19 18:50:07.031439
154,62,76,2023-09-07 18:50:07.013118,2023-04-14 18:50:07.031442
155,95,57,2022-10-30 18:50:07.013122,2023-03-31 18:50:07.031446
156,78,88,2023-03-29 18:50:07.013125,2022-10-08 18:50:07.031449
157,51,93,2023-05-16 18:50:07.013129,2023-05-27 18:50:07.031452
158,66,88,2023-06-26 18:50:07.013132,2022-12-19 18:50:07.031456
159,44,67,2023-08-20 18:50:07.013136,2023-09-22 18:50:07.031459
160,48,3,2023-05-10 18:50:07.013139,2023-01-09 18:50:07.031462
161,99,65,2022-12-26 18:50:07.013143,2022-11-11 18:50:07.031466
162,73,56,2023-07-14 18:50:07.013146,2023-09-03 18:50:07.031469
163,52,71,2023-09-06 18:50:07.013150,2023-01-31 18:50:07.031473
164,42,39,2023-01-22 18:50:07.013153,2023-02-12 18:50:07.031476
165,81,60,2022-09-27 18:50:07.013156,2022-11-20 18:50:07.031480
166,21,53,2023-04-14 18:50:07.013160,2023-08-05 18:50:07.031483
167,10,17,2022-09-28 18:50:07.013163,2022-11-15 18:50:07.031487
168,95,44,2023-06-28 18:50:07.013167,2023-08-27 18:50:07.031490
169,12,90,2023-07-15 18:50:07.013170,2023-05-06 18:50:07.031493
170,61,94,2023-09-25 18:50:07.013174,2022-12-12 18:50:07.031497
171,63,74,2023-07-07 18:50:07.013177,2023-07-10 18:50:07.031500
172,93,74,2022-11-06 18:50:07.013181,2023-06-16 18:50:07.031503
173,71,52,2023-08-06 18:50:07.013184,2023-02-25 18:50:07.031507
174,3,58,2022-12-25 18:50:07.013188,2023-02-13 18:50:07.031510
175,2,22,2022-10-04 18:50:07.013191,2023-06-28 18:50:07.031514
176,22,97,2023-07-28 18:50:07.013195,2023-01-16 18:50:07.031517
177,65,100,2023-01-01 18:50:07.013198,2023-04-04 18:50:07.031521
178,15,32,2023-06-11 18:50:07.013202,2023-06-03 18:50:07.031524
179,8,26,2022-12-21 18:50:07.013205,2023-03-17 18:50:07.031528
180,41,40,2023-07-19 18:50:07.013209,2023-01-16 18:50:07.031531
181,73,50,2023-04-30 18:50:07.013212,2023-09-17 18:50:07.031534
182,28,84,2023-01-10 18:50:07.013216,2022-10-29 18:50:07.031538
183,78,10,2023-04-05 18:50:07.013219,2023-02-26 18:50:07.031541
184,3,89,2023-03-05 18:50:07.013222,2023-07-06 18:50:07.031545
185,32,60,2023-09-20 18:50:07.013226,2022-09-28 18:50:07.031548
186,7,66,2023-01-22 18:50:07.013229,2023-06-22 18:50:07.031552
187,49,73,2022-12-22 18:50:07.013233,2022-11-15 18:50:07.031555
188,40,13,2023-03-15 18:50:07.013236,2022-10-21 18:50:07.031559
189,92,63,2023-06-10 18:50:07.013240,2022-12-16 18:50:07.031562
190,16,62,2023-06-01 18:50:07.013243,2023-04-19 18:50:07.031565
191,49,11,2023-07-03 18:50:07.013247,2022-12-01 18:50:07.031569
192,64,8,2023-06-20 18:50:07.013250,2023-01-23 18:50:07.031572
193,86,87,2023-06-07 18:50:07.013254,2023-08-19 18:50:07.031575
194,3,83,2022-10-03 18:50:07.013257,2023-01-21 18:50:07.031579
195,22,21,2022-12-05 18:50:07.013261,2023-01-10 18:50:07.031582
196,96,8,2022-12-03 18:50:07.013264,2022-12-07 18:50:07.031586
197,11,27,2022-10-30 18:50:07.013268,2023-08-08 18:50:07.031589
198,39,63,2022-12-07 18:50:07.013271,2023-04-23 18:50:07.031592
199,73,69,2023-08-16 18:50:07.013274,2022-11-07 18:50:07.031596
200,24,56,2023-02-08 18:50:07.013278,2023-07-26 18:50:07.031599
201,81,34,2023-02-03 18:50:07.013282,2023-01-28 18:50:07.031603
202,98,15,2023-04-25 18:50:07.013285,2022-10-06 18:50:07.031606
203,80,16,2023-03-04 18:50:07.013288,2022-09-30 18:50:07.031610
204,8,70,2022-11-17 18:50:07.013292,2022-12-02 18:50:07.031613
205,60,79,2023-05-01 18:50:07.013296,2022-10-17 18:50:07.031617
206,66,88,2022-11-21 18:50:07.013299,2023-05-12 18:50:07.031620
207,25,38,2023-08-28 18:50:07.013303,2023-08-05 18:50:07.031623
208,36,58,2023-04-08 18:50:07.013306,2022-09-30 18:50:07.031627
209,1,35,2023-04-09 18:50:07.013309,2023-04-12 18:50:07.031630
210,13,61,2023-08-09 18:50:07.013313,2023-02-23 18:50:07.031634
211,3,10,2023-08-27 18:50:07.013316,2023-05-12 18:50:07.031637
212,60,59,2023-08-30 18:50:07.013320,2023-01-10 18:50:07.031641
213,59,73,2023-02-10 18:50:07.013323,2023-08-01 18:50:07.031644
214,86,74,2023-03-18 18:50:07.013327,2023-03-08 18:50:07.031647
215,18,26,2023-07-14 18:50:07.013330,2023-09-26 18:50:07.031651
216,45,68,2023-03-04 18:50:07.013334,2023-06-23 18:50:07.031654
217,87,68,2023-06-12 18:50:07.013337,2022-10-14 18:50:07.031658
218,2,52,2023-01-10 18:50:07.013341,2022-10-07 18:50:07.031661
219,17,66,2022-10-11 18:50:07.013344,2023-07-01 18:50:07.031664
220,16,33,2023-05-28 18:50:07.013348,2023-09-10 18:50:07.031668
221,6,69,2023-02-13 18:50:07.013352,2022-11-15 18:50:07.031672
222,75,63,2022-11-10 18:50:07.013355,2023-05-27 18:50:07.031675
223,70,69,2023-01-14 18:50:07.013359,2023-02-08 18:50:07.031679
224,44,53,2023-07-21 18:50:07.013362,2023-03-01 18:50:07.031682
225,75,97,2023-07-23 18:50:07.013366,2022-11-01 18:50:07.031685
226,28,32,2022-11-25 18:50:07.013369,2022-11-11 18:50:07.031689
227,8,72,2023-09-14 18:50:07.013372,2023-05-22 18:50:07.031693
228,82,21,2023-02-24 18:50:07.013376,2022-10-17 18:50:07.031697
229,56,35,2023-09-12 18:50:07.013379,2023-05-22 18:50:07.031700
230,89,50,2023-03-26 18:50:07.013383,2022-12-15 18:50:07.031703
231,1,77,2023-02-05 18:50:07.013386,2023-01-27 18:50:07.031707
232,66,70,2023-09-17 18:50:07.013390,2022-10-08 18:50:07.031710
233,35,57,2022-12-01 18:50:07.013393,2023-06-30 18:50:07.031714
234,26,12,2022-12-09 18:50:07.013397,2023-07-28 18:50:07.031718
235,66,81,2023-06-14 18:50:07.013400,2023-02-24 18:50:07.031721
236,82,53,2023-07-21 18:50:07.013404,2023-04-20 18:50:07.031725
237,19,69,2023-05-25 18:50:07.013407,2023-04-21 18:50:07.031728
238,80,45,2023-02-08 18:50:07.013411,2023-05-07 18:50:07.031731
239,12,98,2023-01-11 18:50:07.013414,2022-12-15 18:50:07.031735
240,32,45,2023-02-04 18:50:07.013418,2023-08-09 18:50:07.031738
241,48,9,2023-05-31 18:50:07.013421,2023-06-15 18:50:07.031742
242,25,29,2023-04-19 18:50:07.013425,2022-11-02 18:50:07.031745
243,76,11,2022-12-13 18:50:07.013428,2023-07-23 18:50:07.031749
244,100,21,2023-07-25 18:50:07.013432,2023-07-27 18:50:07.031752
245,35,63,2023-05-01 18:50:07.013435,2023-05-20 18:50:07.031755
246,12,82,2022-11-14 18:50:07.013438,2023-06-14 18:50:07.031759
247,88,88,2022-11-01 18:50:07.013442,2023-06-18 18:50:07.031762
248,84,61,2023-09-02 18:50:07.013445,2022-12-31 18:50:07.031766
249,16,28,2023-05-09 18:50:07.013449,2023-03-22 18:50:07.031769
250,66,11,2022-11-26 18:50:07.013452,2023-06-14 18:50:07.031772
251,99,43,2023-01-25 18:50:07.013456,2023-08-19 18:50:07.031776
252,62,17,2023-08-06 18:50:07.013459,2023-02-13 18:50:07.031779
253,19,69,2023-04-14 18:50:07.013463,2023-01-02 18:50:07.031784
254,60,12,2022-10-18 18:50:07.013466,2023-02-14 18:50:07.031787
255,35,46,2023-07-06 18:50:07.013470,2023-08-16 18:50:07.031790
256,23,78,2023-01-03 18:50:07.013473,2022-11-12 18:50:07.031794
257,78,1,2023-06-17 18:50:07.013477,2023-05-24 18:50:07.031797
258,25,36,2023-07-25 18:50:07.013480,2023-05-05 18:50:07.031801
259,30,25,2022-11-30 18:50:07.013484,2023-03-20 18:50:07.031814
260,11,52,2022-10-31 18:50:07.013488,2022-10-27 18:50:07.031821
261,60,82,2023-05-06 18:50:07.013491,2023-01-29 18:50:07.031827
262,45,13,2023-05-03 18:50:07.013495,2023-05-04 18:50:07.031833
263,56,95,2022-12-14 18:50:07.013498,2022-10-04 18:50:07.031839
264,9,18,2023-09-23 18:50:07.013502,2022-12-19 18:50:07.031843
265,25,76,2022-12-01 18:50:07.013505,2023-07-30 18:50:07.031847
266,56,14,2023-02-15 18:50:07.013509,2022-11-06 18:50:07.031851
267,26,91,2022-11-02 18:50:07.013513,2023-07-31 18:50:07.031854
268,15,42,2023-04-09 18:50:07.013516,2023-01-14 18:50:07.031858
269,15,89,2023-04-04 18:50:07.013520,2022-10-06 18:50:07.031861
270,47,16,2023-04-21 18:50:07.013523,2023-03-23 18:50:07.031865
271,76,87,2023-05-27 18:50:07.013527,2023-09-06 18:50:07.031868
272,49,50,2023-01-05 18:50:07.013531,2022-11-26 18:50:07.031872
273,83,28,2023-06-13 18:50:07.013534,2022-12-14 18:50:07.031875
274,78,78,2023-08-31 18:50:07.013538,2023-05-22 18:50:07.031879
275,45,90,2023-09-10 18:50:07.013542,2022-10-29 18:50:07.031882
276,81,37,2023-05-03 18:50:07.013545,2023-07-31 18:50:07.031886
277,47,44,2023-07-06 18:50:07.013549,2023-06-24 18:50:07.031889
278,39,11,2023-09-26 18:50:07.013552,2022-11-04 18:50:07.031893
279,77,87,2022-10-02 18:50:07.013556,2022-10-26 18:50:07.031896
280,88,21,2023-03-12 18:50:07.013559,2023-07-22 18:50:07.031900
281,10,70,2023-05-07 18:50:07.013563,2023-06-16 18:50:07.031903
282,95,44,2022-10-30 18:50:07.013566,2023-02-07 18:50:07.031907
283,59,90,2022-09-30 18:50:07.013569,2023-02-08 18:50:07.031911
284,71,67,2023-04-09 18:50:07.013573,2023-04-22 18:50:07.031914
285,8,73,2022-12-19 18:50:07.013577,2023-03-07 18:50:07.031918
286,70,10,2022-11-28 18:50:07.013580,2022-12-04 18:50:07.031922
287,71,25,2023-05-19 18:50:07.013583,2023-02-28 18:50:07.031925
288,44,98,2023-09-11 18:50:07.013587,2023-08-16 18:50:07.031929
289,44,1,2023-03-13 18:50:07.013590,2023-06-23 18:50:07.031937
290,64,65,2023-04-28 18:50:07.013594,2023-07-09 18:50:07.031941
291,51,77,2022-12-30 18:50:07.013597,2022-12-02 18:50:07.031944
292,31,67,2023-05-02 18:50:07.013601,2023-05-02 18:50:07.031948
293,34,11,2023-07-30 18:50:07.013604,2023-03-26 18:50:07.031951
294,16,96,2022-12-10 18:50:07.013608,2022-12-03 18:50:07.031955
295,96,64,2023-01-09 18:50:07.013611,2023-01-06 18:50:07.031958
296,91,80,2023-01-18 18:50:07.013615,2023-02-16 18:50:07.031962
297,56,13,2023-07-09 18:50:07.013618,2023-01-13 18:50:07.031965
298,24,16,2023-01-16 18:50:07.013622,2022-10-25 18:50:07.031969
299,48,90,2023-01-30 18:50:07.013627,2023-03-01 18:50:07.031972
300,29,42,2022-10-29 18:50:07.013631,2022-10-17 18:50:07.031976
301,15,78,2022-12-10 18:50:07.013634,2023-04-11 18:50:07.031979
302,55,86,2023-03-01 18:50:07.013638,2023-01-16 18:50:07.031983
303,35,66,2023-04-28 18:50:07.013641,2022-11-30 18:50:07.031986
304,4,58,2023-05-31 18:50:07.013645,2023-03-23 18:50:07.031990
305,83,19,2023-04-06 18:50:07.013649,2023-09-06 18:50:07.031993
306,23,34,2023-06-08 18:50:07.013652,2022-12-09 18:50:07.031997
307,90,68,2023-06-07 18:50:07.013656,2023-07-11 18:50:07.032000
308,27,95,2023-01-03 18:50:07.013659,2023-04-03 18:50:07.032004
309,58,27,2023-05-08 18:50:07.013663,2023-04-10 18:50:07.032007
310,30,38,2023-07-17 18:50:07.013666,2023-07-26 18:50:07.032011
311,74,31,2023-06-28 18:50:07.013670,2022-11-08 18:50:07.032015
312,28,7,2023-07-06 18:50:07.013674,2022-10-03 18:50:07.032018
313,7,92,2023-07-25 18:50:07.013677,2023-01-04 18:50:07.032022
314,93,81,2022-10-06 18:50:07.013680,2023-04-02 18:50:07.032025
315,35,53,2022-09-27 18:50:07.013684,2022-12-16 18:50:07.032029
316,48,61,2023-09-01 18:50:07.013687,2023-02-19 18:50:07.032032
317,92,38,2023-06-10 18:50:07.013691,2023-09-02 18:50:07.032036
318,89,9,2023-02-28 18:50:07.013695,2022-11-17 18:50:07.032039
319,60,51,2023-09-24 18:50:07.013698,2023-04-02 18:50:07.032043
320,36,63,2023-08-22 18:50:07.013701,2023-02-18 18:50:07.032046
321,13,15,2023-01-11 18:50:07.013705,2023-02-23 18:50:07.032050
322,87,17,2023-06-15 18:50:07.013708,2023-05-16 18:50:07.032053
323,17,31,2023-02-15 18:50:07.013712,2023-08-09 18:50:07.032057
324,79,76,2023-07-10 18:50:07.013716,2023-09-26 18:50:07.032060
325,72,68,2023-04-05 18:50:07.013719,2023-09-21 18:50:07.032064
326,55,71,2022-11-25 18:50:07.013723,2023-07-17 18:50:07.032067
327,3,79,2023-04-02 18:50:07.013726,2023-03-15 18:50:07.032071
328,94,14,2023-09-13 18:50:07.013729,2023-06-19 18:50:07.032074
329,85,28,2023-08-03 18:50:07.013733,2022-11-01 18:50:07.032078
330,91,91,2023-04-07 18:50:07.013736,2023-09-18 18:50:07.032081
331,32,78,2023-07-27 18:50:07.013740,2023-06-30 18:50:07.032085
332,61,81,2023-07-05 18:50:07.013743,2023-03-07 18:50:07.032089
333,62,76,2022-11-17 18:50:07.013747,2023-09-16 18:50:07.032092
334,73,64,2023-01-11 18:50:07.013751,2022-09-29 18:50:07.032096
335,97,79,2022-12-02 18:50:07.013754,2022-11-23 18:50:07.032099
336,4,50,2022-12-20 18:50:07.013757,2022-12-18 18:50:07.032103
337,43,68,2023-09-03 18:50:07.013761,2022-10-06 18:50:07.032106
338,34,69,2022-10-28 18:50:07.013765,2023-06-21 18:50:07.032110
339,20,62,2022-12-21 18:50:07.013768,2023-01-09 18:50:07.032113
340,41,66,2023-02-18 18:50:07.013771,2023-06-16 18:50:07.032117
341,29,79,2023-07-14 18:50:07.013775,2023-07-18 18:50:07.032120
342,11,78,2023-03-29 18:50:07.013778,2022-12-22 18:50:07.032124
343,61,64,2023-02-13 18:50:07.013783,2022-11-15 18:50:07.032127
344,82,23,2023-01-03 18:50:07.013786,2022-10-30 18:50:07.032131
345,4,36,2023-09-05 18:50:07.013789,2023-04-24 18:50:07.032135
346,17,26,2022-12-19 18:50:07.013793,2023-01-03 18:50:07.032138
347,64,64,2023-07-21 18:50:07.013797,2023-02-09 18:50:07.032142
348,60,17,2023-07-13 18:50:07.013800,2023-06-06 18:50:07.032145
349,63,40,2022-10-08 18:50:07.013811,2022-10-03 18:50:07.032149
350,23,89,2022-12-31 18:50:07.013815,2022-11-25 18:50:07.032152
351,13,82,2022-12-13 18:50:07.013818,2023-04-18 18:50:07.032156
352,81,89,2023-03-16 18:50:07.013822,2023-03-31 18:50:07.032159
353,94,28,2023-01-13 18:50:07.013825,2023-02-01 18:50:07.032163
354,99,56,2023-04-29 18:50:07.013829,2022-11-26 18:50:07.032167
355,88,95,2022-11-20 18:50:07.013832,2023-06-21 18:50:07.032170
356,59,60,2023-03-04 18:50:07.013836,2023-01-26 18:50:07.032174
357,86,44,2023-02-15 18:50:07.013839,2023-09-05 18:50:07.032177
358,66,17,2023-01-17 18:50:07.013843,2023-08-17 18:50:07.032181
359,72,26,2023-06-20 18:50:07.013846,2023-09-08 18:50:07.032184
360,84,94,2023-09-03 18:50:07.013850,2023-06-16 18:50:07.032188
361,63,93,2022-09-30 18:50:07.013853,2023-02-12 18:50:07.032191
362,93,47,2023-03-21 18:50:07.013857,2022-12-02 18:50:07.032195
363,20,54,2022-11-01 18:50:07.013860,2023-08-05 18:50:07.032198
364,70,31,2023-03-09 18:50:07.013863,2023-09-10 18:50:07.032202
365,100,60,2023-06-11 18:50:07.013867,2023-09-08 18:50:07.032205
366,59,13,2023-07-26 18:50:07.013870,2023-01-12 18:50:07.032209
